Cd_71,uso_BI,Act_71_14,coduso_BI
X43,OFICINAS,Vendedores y viajantes,O
X44,OFICINAS,Agentes,O
X75,OFICINAS,Tejedores,O
X79,OFICINAS,Sastres,O
X81,OFICINAS,Carpinteros,O
X88,OFICINAS,Joyeros,O
X99,OFICINAS,Otras actividades,O
P  ,PUBLICO,Público,P
PAA,PUBLICO,Ayuntamiento 20.000 hab,P
PAD,PUBLICO,Audiencia,P
PAE,PUBLICO,Ayuntamiento +20.000 hab,P
PCB,PUBLICO,Cabildo,P
PDL,PUBLICO,Delegación,P
PGB,PUBLICO,Gobierno,P
PJA,PUBLICO,Juzgado Comarcal,P
PJO,PUBLICO,Juzgado Provincial,P
Q  ,PUBLICO,Público,P
QAA,PUBLICO,Ayuntamiento 20.000 hab,P
QAD,PUBLICO,Audiencia,P
QAE,PUBLICO,Ayuntamiento +20.000 hab,P
QCB,PUBLICO,Cabildo,P
QDL,PUBLICO,Delegación,P
QGB,PUBLICO,Gobierno,P
QJA,PUBLICO,Juzgado Comarcal,P
QJO,PUBLICO,Juzgado Provincial,P
R  ,RELIGIOSO,Religioso,R
RBS,RELIGIOSO,Basílica,R
RCP,RELIGIOSO,Capilla,R
RCT,RELIGIOSO,Catedral,R
RER,RELIGIOSO,Ermita,R
RPR,RELIGIOSO,Parroquia,R
RSL,RELIGIOSO,sin dato,R
RSN,RELIGIOSO,Sanitario,R
S  ,RELIGIOSO,Religioso,R
SBS,RELIGIOSO,Basílica,R
SCP,RELIGIOSO,Capilla,R
SCT,RELIGIOSO,Catedral,R
SER,RELIGIOSO,Ermita,R
SPR,RELIGIOSO,Parroquia,R
SSN,RELIGIOSO,Sanitario,R
T  ,ESPECTÁCULOS,Espectáculos,T
TAD,ESPECTÁCULOS,Auditorio,T
TBI,RESIDENCIAL,Sin Definir Garaje-Trastero-Local en Estructura,9
TCM,ESPECTÁCULOS,Cine,T
TCN,ESPECTÁCULOS,Cine no decorado,T
TSL,ESPECTÁCULOS,Sala múltiple,T
TTT,ESPECTÁCULOS,Teatro,T
U  ,ESPECTÁCULOS,Espectáculos,T
UAD,ESPECTÁCULOS,Auditorio,T
UCM,ESPECTÁCULOS,Cine,T
UCN,ESPECTÁCULOS,Cine no decorado,T
USL,ESPECTÁCULOS,Sala múltiple,T
UTT,ESPECTÁCULOS,Teatro,T
V  ,RESIDENCIAL,Vivienda sin uso detallado,V
W  ,RESIDENCIAL,Vivienda sin uso detallado,V
Y  ,BENEFICENCIA,Otros,Y
YAM,SANIDAD,Ambulatorio,Y
YBE,URBANIZACION,Balsas y estanques,U
YCA,COMERCIAL,Casino 20.000 h,C
YCB,COMERCIAL,Club,C
YCE,COMERCIAL,Casino +20.000 h,C
YCL,SANIDAD,Clínica,Y
