refcat,antig_bi,sin_reforma,e_ref_media,i_ref_minima,o_ref_total,r_ref_integral
0101074UG3900S,1955.0,0.0,,,,
0101075UG3900S,1957.0,0.0,,,,
0101076UG3900S,2009.0,0.0,,,,
0101077UG3900S,1993.0,0.0,,,,
0101078UG3900S,1951.0,0.0,,,,
0101079UG3900S,1957.0,0.0,,,,
0101080UG3900S,1960.0,0.0,1980.0,,,
0101081UG3900S,1987.0,0.0,,,,
0101082UG3900S,2009.0,0.0,,,,
0101084UG3900S,1963.0,0.0,,,,
0101085UG3900S,1997.0,0.0,,,,
0101086UG3900S,1970.0,0.0,,,,
0101087UG3900S,1959.0,0.0,,,,
0101088UG3900S,1957.0,0.0,2001.0,,,
0101089UG3900S,1979.0,,,2004.0,,
0101090UG3900S,1975.0,0.0,,,,
0101092UG3900S,1981.0,0.0,1990.0,,,
0101093UG3900S,1976.0,0.0,1995.0,,,
0101094UG3900S,1977.0,,2007.0,,,
0101095UG3900S,1960.0,,1997.0,,,
0101096UG3900S,1975.0,0.0,1990.0,,,
0101097UG3900S,2009.0,0.0,,,,
0101098UG3900S,2002.0,0.0,,,,
0101099UG3900S,1970.0,0.0,,1991.0,,
01010A0UG3900S,1964.0,,2014.0,,,
01010A1UG3900S,1998.0,0.0,,,,
0107201UG3900N,2007.0,0.0,,,,
0107202UG3900N,2008.0,0.0,,,,
0107203UG3900N,2002.0,0.0,,,,
0107205UG3900N,2001.0,0.0,,,,
0107206UG3900N,1995.0,0.0,,,,
0107207UG3900N,2005.0,0.0,,,,
0107208UG3900N,2001.75,0.0,,,,
0107210UG3900N,1993.0,0.0,,,,
0107211UG3900N,2005.0,0.0,,,,
0111701UH4001S,2000.0,0.0,,,,
0111702UH4001S,1990.0,0.0,,,,
0111703UH4001S,1998.0,0.0,,,,
0111704UH4001S,1975.0,0.0,,,,
0111705UH4001S,1979.0,0.0,,,,
0111706UH4001S,1992.0,0.0,,,,
0111707UH4001S,1995.0,0.0,,,,
0111801UG3901S,1997.0,0.0,,,,
0111802UG3901S,2003.0,0.0,,,,
0111803UG3901S,2000.0,0.0,,,,
0113201UG4901S,1995.0,0.0,,,,
0113204UG4901S,1995.0,0.0,,,,
0113206UG4901S,1995.0,0.0,,,,
0113211UG4901S,2006.0,0.0,,,,
0122002UG4902S,2001.0,0.0,,,,
0122003UG4902S,1999.0,0.0,,,,
0122004UG4902S,2007.0,0.0,,,,
0122005UG4902S,2003.0,0.0,,,,
0122006UG4902S,1975.0,0.0,,,,
0122007UG4902S,1977.0,0.0,,,,
0122008UG4902S,1978.0,0.0,,,1992.0,
0122009UG4902S,1980.0,0.0,,,,
0122010UG4902S,1998.0,0.0,,,,
0122012UG4902S,2012.0,0.0,,,,
0122013UG4902S,1977.0,0.0,,,,
0122014UG4902S,1980.0,0.0,,,,
0122015UG4902S,1980.0,0.0,,,,
0122016UG4902S,2000.0,0.0,,,,
0122019UG4902S,2005.0,0.0,,,,
0122020UG4902S,1998.0,0.0,,,,
0122022UG4902S,1978.0,0.0,,,,
0122025UG4902S,1998.0,0.0,,,,
0122026UG4902S,1982.0,0.0,,,,
0122027UG4902S,1978.0,0.0,2002.0,,,
0122028UG4902S,1999.0,0.0,,,,
0122029UG4902S,1989.0,0.0,,,,
0122030UG4902S,2000.0,0.0,,,,
0122031UG4902S,2001.0,0.0,,,,
0122901UG4902S,1997.0,0.0,,,,2009.0
0122902UG4902S,1980.0,0.0,,2012.0,,
0122903UG4902S,2009.0,0.0,,,,
0122904UG4902S,1975.0,0.0,,2008.0,,
0122905UG4902S,1978.0,0.0,,,1999.0,
0122906UG4902S,1975.0,0.0,,,,
0122907UG4902S,1983.0,0.0,,,,
0122910UG4902S,1991.0,0.0,,,,
0122911UG4902S,1999.0,0.0,,,,
0122912UG4902S,1980.0,0.0,,,,
0137501UG5803N,1978.0,0.0,,,,
0137502UG5803N,1978.0,0.0,,,,
0137503UG5803N,1980.0,0.0,,,,
0145702UG4904N,1949.0,0.0,,,,
0145703UG4904N,1951.0,0.0,,,1998.0,
0145704UG4904N,1949.0,0.0,,,1990.0,
0145705UG4904N,1951.0,0.0,,,2000.0,
0145706UG4904N,1951.0,0.0,,,1998.0,
0146701UG4904N,1951.0,0.0,2012.0,,,
0146702UG4904N,1950.0,0.0,1998.0,,,
0146703UG4904N,1951.0,0.0,,,1980.0,
0146704UG4904N,1950.0,0.0,2000.0,,,
0146705UG4904N,1950.0,0.0,2004.0,,,
0156104UG5905N,1979.0,0.0,,,,
0156105UG5905N,1980.0,0.0,,,,
0156106UG5905N,1985.0,0.0,,,,
0156107UG5905N,2010.0,0.0,,,,
0156108UG5905N,2000.0,0.0,,,,
0156109UG5905N,1982.0,0.0,,,,
0156110UG5905N,1996.0,0.0,,,,
0156111UG5905N,2000.0,0.0,,,,
0156112UG5905N,1983.0,0.0,,,,
0156113UG5905N,2000.0,0.0,,,,
0156114UG5905N,1978.0,0.0,,,,
0156115UG5905N,1990.0,0.0,,,,
0156116UG5905N,1992.0,0.0,,,,
0156117UG5905N,1991.0,0.0,,,,
0156118UG5905N,1990.0,0.0,,,,
0156119UG5905N,1988.0,0.0,,,,
0156120UG5905N,1987.0,0.0,,,,
0156121UG5905N,1994.0,0.0,,,,
0156123UG5905N,1990.0,0.0,,,,
0156124UG5905N,1995.0,0.0,,,,
0156125UG5905N,1989.0,0.0,,,,
0156126UG5905N,2000.0,0.0,,,,
0202901UG3900S,1980.0,0.0,,,,
0202902UG3900S,1960.0,,1992.0,,,
0202903UG3900S,1980.0,0.0,2000.0,,,
0202904UG3900S,1995.0,0.0,,,,
0202905UG3900S,1960.0,0.0,1992.0,,,
