refcat_parcel,refcat_inmueble,nombre_via,num_1,num_2,km,dir_bi,cp_aprox,m2_bi
2850614UG4925S,2850614UG4925S0014KO,CL ANGEL GANIVET,1  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14011,37
2850614UG4925S,2850614UG4925S0015LP,CL ANGEL GANIVET,1  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14011,32
2850614UG4925S,2850614UG4925S0016BA,CL ANGEL GANIVET,1  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14011,29
5453405UG4955S,5453405UG4955S0001OA,AV LIBIA,31  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14007,1203
5357230UG4955N,5357230UG4955N0001SE,CL SAGUNTO,32  ,0  ,0,Blq:   Esc: E  Pl: SM  Pt: SM,14007,148
4459421UG4945N,4459421UG4945N0001QX,CL VILLAHARTA,3  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14007,30
4452123UG4945S,4452123UG4945S0001KU,CL POZANCO,9  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14001,750
3948928UG4934N,3948928UG4934N0001FQ,CL ALFAROS,34  ,36  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14001,1054
4543122UG4944S,4543122UG4944S0001JD,CL RONDA DE LOS MARTIRES,3  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14002,279
4646501UG4944N,4646501UG4944N0001BT,CL CAMPO MADRE DIOS,2  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14002,347
3942621UG4934S,3942621UG4934S0002WP,CL LUCANO,1  ,0  ,0,Blq:   Esc: E  Pl: 01  Pt: 01,14003,140
3942621UG4934S,3942621UG4934S0003EA,CL LUCANO,1  ,0  ,0,Blq:   Esc: E  Pl: 01  Pt: 01,14003,150
3942621UG4934S,3942621UG4934S0004RS,CL LUCANO,1  ,0  ,0,Blq:   Esc: E  Pl: 02  Pt: 02,14003,140
3942621UG4934S,3942621UG4934S0005TD,CL LUCANO,1  ,0  ,0,Blq:   Esc: E  Pl: 02  Pt: 02,14003,150
3545120UG4934N,3545120UG4934N0002BW,CL BARROSO,4  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14003,211
3545120UG4934N,3545120UG4934N0003ZE,CL BARROSO,4  ,0  ,0,Blq:   Esc: E  Pl: 01  Pt: 01,14003,194
3545120UG4934N,3545120UG4934N0004XR,CL BARROSO,4  ,0  ,0,Blq:   Esc: E  Pl: 02  Pt: 02,14003,194
3545120UG4934N,3545120UG4934N0005MT,CL BARROSO,4  ,0  ,0,Blq:   Esc: E  Pl: 03  Pt: 03,14003,28
3545120UG4934N,3545120UG4934N0006QY,CL BARROSO,4  ,0  ,0,Blq:   Esc: E  Pl: 03  Pt: 03,14003,28
3847702UG4934N,3847702UG4934N0001DQ,CL MARIA CRISTINA,11  ,0  ,0,Blq:   Esc: E  Pl: 01  Pt: 01,14002,648
