ref_catastral,codigo_uso,pc_31,valor_control,sup_bi
14900A11000111,M,,0,9623
2110801UG4921S,M,,0,9485
9952503UG3995S,M,,0,9485
2773395UG4927S,M,,0,9464
2773397UG4927S,M,,0,9464
0763101UG4806S,M,,0,9405
14900A10900086,M,,0,9349
0554402UG4805S,M,,0,9289
1770602UG4917S,M,,0,9218
2107701UG3910N,M,,0,9211
0763106UG4806S,M,,0,9193
8472301UG4987S,M,,0,9192
3617901UG4931N,M,,0,9191
1767101UG4916N,M,,0,9147
14900A10900081,M,,0,9073
0954601UG4905S,M,,0,9012
0554404UG4805S,M,,0,8951
1635301UG4913N,M,,0,8884
4137301UG4943N,M,,0,8878
0559901UG4905N,M,,0,8812
6198201UG4969N,M,,0,8797
0661108UG4806S,M,,0,8759
14900A08600074,M,,0,8718
0661109UG4806S,M,,0,8665
1288912UG4918N,M,,0,8586
2211805UG4921S,M,,0,8542
3718101UG4931N,M,,0,8537
8069801UG4986N,M,,0,8497
0150301UG4905S,M,,0,8433
14900A10900285,M,,0,8390
2588211UG4928N,M,,0,8363
3100601UH5030S,M,,0,8346
6199301UG4969N,M,,0,8316
9140201UG3994S,M,,0,8302
5188108UG4958N,M,,0,8270
0661101UG4806S,M,,0,8263
14900A10200096,M,,0,8242
2108220UH3020N,M,,0,8199
0249501UG4904N,M,,0,8180
5694101UG4959S,M,,0,8175
0043702UG4904S,M,,0,8143
1567701UG4916N,M,,0,8130
0458115UG4805N,M,,0,8106
8115310UH3081N,M,,0,8051
0458117UG4805N,M,,0,8046
9338401UG3993N,M,,0,8044
2724101UH5022S,M,,0,8034
0458101UG4805N,M,,0,8031
8595801UG4985N,M,,0,8000
0458116UG4805N,M,,0,7983
5249518UG4954N,M,,0,7945
14900A07700017,M,,0,7896
0458113UG4805N,M,,0,7883
3622704UG4932S,M,,0,7847
0049201UG4904N,M,,0,7760
8611807UH3081S,M,,0,7738
1568501UG4916N,M,,0,7728
2108502UH5020N,M,,0,7687
3874401UG4937S,M,,0,7675
2826203UH5022N,M,,0,7662
1187625UG4918N,M,,0,7632
14900A10700112,M,,0,7624
1265601UG4916N,M,,0,7612
1462201UG4916S,M,,0,7558
0458114UG4805N,M,,0,7538
8561103UG4986S,M,,0,7499
0048201UG4904N,M,,0,7496
14900A10900281,M,,0,7491
14900A10900268,M,,0,7459
0659001UG4905N,M,,0,7417
1766101UG4916N,M,,0,7321
1909309UG4910N,M,,0,7231
3503901UH5030S,M,,0,7213
1540401UG4914S,M,,0,7203
0782619UG4908S,M,,0,7193
8262309UG4986S,M,,0,7193
0210806UH4001S,M,,0,7187
14900A07700059,M,,0,7172
0156403UG4805N,M,,0,7166
7459701UG4975N,M,,0,7158
2336301UG4923N,M,,0,7148
0210817UH4001S,M,,0,7140
6211905UG3961S,M,,0,7132
14900A08000072,M,,0,7112
3116301UG4931N,M,,0,7105
0141201UG4904S,M,,0,7085
9955803UG3995N,M,,0,7039
1705101UG4910N,M,,0,7028
14900A08600067,M,,0,7007
0021106000009S,M,,0,7000
14900A10900352,M,,0,7000
14900A08600005,M,,0,6990
0156404UG4805N,M,,0,6989
5196109UG4959N,M,,0,6975
5093808UG4959S,M,,0,6961
8938902UG3983N,M,,0,6927
1646812UG4914N,M,,0,6926
0156402UG4805N,M,,0,6884
0249502UG4904N,M,,0,6865
2029821UG4922N,M,,0,6828
2029816UG4922N,M,,0,6813
4295505UG5949N,M,,0,6801
0355104UG4805N,M,,0,6791
4697305UG5949N,M,,0,6787
0054301UG4905S,M,,0,6757
14900A00500056,M,,0,6757
3300001UH5030S,M,,0,6735
0753401UG4805S,M,,0,6721
2609307UH5020N,M,,0,6719
7835201UG3973N,M,,0,6705
7835202UG3973N,M,,0,6705
8776601UG4987N,M,,0,6676
0557202UG4905N,M,,0,6620
2153701UG4925S,M,,0,6519
5645401UG4954N,M,,0,6500
2009101UG3910N,M,,0,6477
2999204UG5929N,M,,0,6458
001800100UH50C,M,,0,6450
5794301UG4959S,M,,0,6447
3216101UG4931N,M,,0,6441
2050803UG4925S,M,,0,6326
2309528UG4920N,M,,0,6322
0156401UG4805N,M,,0,6316
3301801UH5030S,M,,0,6315
0521906UG4902S,M,,0,6279
2259705UG4925N,M,,0,6273
14900A10900055,M,,0,6257
1979504UG4917N,M,,0,6249
14900A11000094,M,,0,6206
0355105UG4805N,M,,0,6201
7615219UH3071N,M,,0,6200
0359106UG4805N,M,,0,6151
3222036UH5032S,M,,0,6145
14900A10200099,M,,0,6121
14900A10200123,M,,0,6117
0355106UG4805N,M,,0,6114
9110913UH3091S,M,,0,6092
0850701UG4905S,M,,0,6051
0564602UG4806S,M,,0,6033
5796901UG4959N,M,,0,6033
14900A10900053,M,,0,6024
1294603UG4919S,M,,0,6010
14900A10900215,M,,0,6005
2872121UG4927S,M,,0,6000
6286102UG4968N,M,,0,6000
0564604UG4806S,M,,0,5940
6720601UG3962S,M,,0,5927
9951501UG3995S,M,,0,5914
14900A11000090,M,,0,5911
9110908UH3091S,M,,0,5874
3807914UG3930N,M,,0,5847
9165101UG4996N,M,,0,5838
14900A07300082,M,,0,5804
2494313UG5929S,M,,0,5789
5040601UG4954N,M,,0,5762
0355101UG4805N,M,,0,5758
5996601UG4959N,M,,0,5752
0359101UG4805N,M,,0,5749
3222066UH5032S,M,,0,5747
2301601UH3020S,M,,0,5741
7615203UH3071N,M,,0,5734
1356303UG4915N,M,,0,5716
0359109UG4805N,M,,0,5691
0359110UG4805N,M,,0,5684
4769004UH4046N,M,,0,5681
0355102UG4805N,M,,0,5666
4769003UH4046N,M,,0,5666
0851203UG4905S,M,,0,5652
0359105UG4805N,M,,0,5649
5083102UG4958S,M,,0,5640
0564603UG4806S,M,,0,5631
9950503UG3995S,M,,0,5602
9658012UG4995N,M,,0,5600
2309521UG4920N,M,,0,5598
0359108UG4805N,M,,0,5580
0567603UG4806N,M,,0,5578
0462106UG4806S,M,,0,5560
14900A06800077,M,,0,5559
0359104UG4805N,M,,0,5533
0359103UG4805N,M,,0,5527
3126703UG4932N,M,,0,5518
0451901UG4905S,M,,0,5510
1890504UG4919S,M,,0,5500
0462101UG4806S,M,,0,5498
0462105UG4806S,M,,0,5494
0564601UG4806S,M,,0,5483
14900A03000002,M,,0,5481
0451902UG4905S,M,,0,5474
3116007UH5031N,M,,0,5461
0462103UG4806S,M,,0,5443
2153301UG4925S,M,,0,5429
0359102UG4805N,M,,0,5427
0462104UG4806S,M,,0,5426
1789301UG4918N,M,,0,5422
14900A10800141,M,,0,5379
9803601UG2990S,M,,0,5354
8776602UG4987N,M,,0,5350
9803605UG2990S,M,,0,5342
0658121UG4805N,M,,0,5328
0313101UH4001S,M,,0,5310
8109419UH3080N,M,,0,5282
8913923UH3081S,M,,0,5281
1187627UG4918N,M,,0,5278
3365101UG4936N,M,,0,5240
7517605UH3071N,M,,0,5231
3029801UH5022N,M,,0,5228
2859702UG4925N,M,,0,5198
9110924UH3091S,M,,0,5184
1812802UG4911S,M,,0,5178
0758129UG4805N,M,,0,5173
14900A10900224,M,,0,5155
